topic,sub_topic,risk_factor,question,instruction
Climate science,Permanence,Testing & Verification of Stability,"Does the project follow established certification standards (e.g., EBC, IBI, Puro) for stability testing?",Look for: Explicit references to certification bodies or adherence to their guidelines in project documents | If absent/vague: Check if the project self-certifies without citing any standard | Assess: Recognized third-party certification adds reliability; absence raises credibility issues.
Climate science,Permanence,Testing & Verification of Stability,"How frequently are stability tests performed, and is there a plan for long-term re-testing?","Look for: Statements in the MRV plan specifying testing intervals (e.g., monthly, quarterly) and future schedules | If absent/vague: Check if tests are mentioned only at project start | Assess: Regular testing is key to tracking potential changes; infrequent tests introduce uncertainty."
Climate science,Permanence,Feedstock Consistency & Impact on Stability,"Which specific feedstocks are used, and do they remain consistent to ensure uniform biochar quality?","Look for: Detailed feedstock lists and sourcing agreements, including supplier names/types | If absent/vague: Check if only vague terms like 'local biomass' are used | Assess: Consistency supports stable biochar; variability can lead to quality fluctuations."
Climate science,Permanence,Feedstock Consistency & Impact on Stability,"Are contaminants or impurities (heavy metals, plastics) screened out in the feedstock to prevent compromised biochar quality?","Look for: Documented screening protocols, supplier certifications, or lab analyses on raw materials | If absent/vague: Check if the project only makes a generic claim of 'clean feedstock' | Assess: Unscrutinized feedstock may introduce contaminants, affecting stability and safety."
Climate science,Permanence,Feedstock Consistency & Impact on Stability,Does the project adjust pyrolysis parameters if feedstock composition changes?,"Look for: Process control documentation describing adjustments (temperature, residence time) for different feedstock properties | If absent/vague: Check if a single process is used for all feedstock types | Assess: Adaptive control ensures consistent biochar quality despite variability."
Climate science,Permanence,Storage & Application Risks,How is biochar stored prior to application to prevent oxidation or moisture-related degradation?,"Look for: Storage descriptions (sealed containers, covered warehouses, dry conditions) in project or audit reports | If absent/vague: Check if only generic mentions of 'proper storage' exist | Assess: Poor storage conditions risk premature degradation and reduce permanence."
Climate science,Permanence,Storage & Application Risks,"Does the project verify biochar stability after application (e.g., via soil sampling or field monitoring)?","Look for: Post-application monitoring protocols, including soil sample analyses or performance studies | If absent/vague: Check if no follow-up verification is mentioned | Assess: Without post-application checks, long-term permanence claims are not substantiated."
Climate science,Permanence,Storage & Application Risks,"Is there a risk that biochar will be repurposed or disturbed (e.g., used as fuel), leading to carbon re-release?","Look for: End-use contracts that specify final use, chain-of-custody documentation, or legal prohibitions on repurposing | If absent/vague: Check if usage terms are unclear or not enforced | Assess: Potential re-use as fuel undermines permanence, increasing reversal risk."
Climate science,Permanence,Storage & Application Risks,"Does the project monitor applied biochar to ensure it remains undisturbed (e.g., minimal tillage or erosion)?","Look for: Post-application monitoring protocols (soil integrity checks, remote sensing, field inspections) | If absent/vague: Check if no follow-up is described | Assess: Physical disturbances (tillage, erosion) can release carbon, reducing overall effectiveness."
Climate science,Permanence,Longevity of Biochar in Intended Use,"Has the project estimated biochar’s expected lifespan (e.g., 100–1000+ years) using modeling or field trial data?","Look for: Peer-reviewed decay models, long-term field trial data, or climate/soil condition comparisons | If absent/vague: Check if only generic statements of 'permanence' are made | Assess: Robust lifespan estimates from empirical data enhance credibility; vague claims do not."
Climate science,Permanence,Longevity of Biochar in Intended Use,"Does the project account for local environmental factors (temperature, moisture, microbial activity) that might accelerate biochar degradation?",Look for: LCA or technical report discussions with climate/soil-specific adjustments in longevity modeling | If absent/vague: Check if only a global average or generic factor is used | Assess: Ignoring local conditions can lead to overestimated permanence.
Climate science,Permanence,Longevity of Biochar in Intended Use,Are legal or operational measures in place to prevent future land-use changes that could disturb the biochar?,"Look for: Land management agreements, easements, or restrictions in project or audit reports | If absent/vague: Check if land use is only broadly described | Assess: Without protections, future land-use changes can negate long-term carbon sequestration."
Climate science,Permanence,Anthropogenic Disturbance Risks,"Beyond normal storage/application, could external human activities (e.g., unplanned land conversion, industrial contamination) compromise biochar’s stored carbon?",Look for: Project documentation on broader threats like infrastructure expansion or contamination sources outside project control | If absent/vague: The project may only mention typical farm operations | Assess: High exposure to outside disturbances increases the risk of reversals.
Climate science,Permanence,Natural Disturbance Risks,"Does the project consider climatic or soil factors (e.g., extreme weather, flooding, erosion) that might accelerate biochar loss or redistribution?","Look for: Risk assessments for extreme weather events or harsh soil conditions, plus any mitigation strategies | If absent/vague: Check if the project only cites 'normal conditions' | Assess: Without planning for natural disturbances, permanence is less certain."
Climate science,Permanence,Carbon Rights & Legal Security,"Are the legal rights to the stored carbon clearly established, and do land or resource tenure uncertainties pose a risk to long-term storage?","Look for: Land deeds or contracts granting the project or landowner the right to claim carbon credits over the credited period | If absent/vague: Check for potential disputes or government claims | Assess: Unclear carbon rights can lead to disputes or discontinuation, threatening permanence."
Climate science,Permanence,Non-Permanence Risk Mitigation,"Has the project implemented mechanisms (e.g., buffer pools, insurance) to address potential carbon reversals?","Look for: Evidence that a portion of credits is set aside, formal insurance coverage, or contractual remedies for reversals | If absent/vague: Check if the project simply asserts 'long-term permanence' with no fallback | Assess: Lack of formal reversal safeguards raises overall permanence risk."
Climate science,Crediting accuracy,Completeness & Scope of LCA,"Does the project present a full LCA covering feedstock sourcing, transport, pyrolysis, and end-use impacts?","Look for: Detailed LCA documents following ISO 14044 (or similar), with cradle-to-grave system boundaries | If absent/vague: Check if transport or end-use are omitted or treated superficially | Assess: Incomplete LCAs may overestimate net removals, reducing credibility."
Climate science,Crediting accuracy,Completeness & Scope of LCA,"Are assumptions regarding avoided emissions (e.g., open burning, landfill decay) clearly defined and supported by local data?","Look for: A baseline scenario detailing what happens to biomass if not converted, including local waste management references | If absent/vague: Assumptions might be generic or unsubstantiated | Assess: Overly optimistic baselines inflate credit claims."
Climate science,Crediting accuracy,Completeness & Scope of LCA,Has the LCA been updated with actual operational data rather than relying solely on theoretical estimates?,"Look for: Recent audit or operational data on feedstock volumes, energy use, biochar yields replacing old feasibility assumptions | If absent/vague: Only references to initial feasibility studies | Assess: Real operational data improves confidence in the carbon credit calculation."
Climate science,Crediting accuracy,Emission Factors & Data Transparency,"Are CO₂, CH₄, and N₂O emission factors based on site-specific measurements or credible references, with proper citations?","Look for: Citations to IPCC, Ecoinvent, or local field data in the LCA or project documents | If absent/vague: The project may rely on generic global factors with no context | Assess: Transparent, credible emission factors reduce miscalculation risk."
Climate science,Crediting accuracy,Emission Factors & Data Transparency,"Are non-CO₂ gases (CH₄, N₂O) correctly weighted using the latest IPCC GWP factors (e.g., AR6)?","Look for: Mention of updated GWP100 values for CH₄ and N₂O, or references to current IPCC guidelines | If absent/vague: Check if older values are used without explanation or if these gases are ignored | Assess: Proper weighting is essential for accurate net emission calculations."
Climate science,Crediting accuracy,Accounting for Non-CO₂ Greenhouse Gases,Does the project measure or estimate methane slip during pyrolysis and consider N₂O flux changes in biochar-amended soils?,"Look for: Gas analysis results for pyrolysis exhaust and any soil emission studies in audit/project documents | If absent/vague: The project may focus only on CO₂, ignoring CH₄ or N₂O | Assess: Omitting these gases can significantly distort net removals."
Climate science,Crediting accuracy,Accounting for Non-CO₂ Greenhouse Gases,Does the baseline scenario include CH₄ and N₂O emissions from uncontrolled biomass decay or disposal?,"Look for: Baseline comparisons quantifying CH₄/N₂O in open burning, decay, or landfills | If absent/vague: Check if only CO₂ is factored, or if CH₄/N₂O are set to zero without reason | Assess: Incomplete baseline accounting overestimates carbon credits."
Climate science,Crediting accuracy,Energy Use & Carbon Intensity of Pyrolysis,"How does the project quantify energy consumption during pyrolysis, and is this factored into net emissions?","Look for: Detailed metrics (e.g., MJ/ton biochar), fuel type breakdowns, and resulting emissions in the LCA | If absent/vague: Only qualitative statements like 'low energy use' without numbers | Assess: High energy use can erode net carbon benefits, so transparency is essential."
Climate science,Crediting accuracy,Energy Use & Carbon Intensity of Pyrolysis,"Does the project implement energy optimization measures (e.g., waste heat recovery, syngas reuse)?","Look for: Process flow diagrams or audit references to captured syngas or recirculated heat for operations | If absent/vague: The project might only claim 'we minimize energy' without detail | Assess: Optimized energy use reduces overall emissions, strengthening net removal claims."
Climate science,Crediting accuracy,Baseline Scenario Validity,"If the project claims a zero or minimal baseline, what evidence shows no prior carbon-removal or GHG-reduction activities existed on-site?","Look for: Historical records proving no comparable practice (e.g., no composting, no prior biochar) | If absent/vague: Project might simply assert 'zero baseline' with no data | Assess: Unsubstantiated zero baselines create high risk of over-crediting."
Climate science,Crediting accuracy,Alternative Feedstock Scenarios,"Does the project evaluate other plausible feedstock uses (e.g., composting, competing biomass industries) that might have stored or reduced emissions elsewhere?","Look for: Market/industry data on typical biomass uses in the region | If absent/vague: The project may label everything 'waste' without proof | Assess: Ignoring valuable alternative uses can inflate net removals, leading to over-crediting."
Climate science,Crediting accuracy,Project Emissions Completeness,"Are all project-related emissions (fossil fuel use, electricity, transport, infrastructure) accounted for and deducted from net credits?","Look for: A comprehensive breakdown of direct/indirect emissions in the LCA | If absent/vague: Some sources (e.g., transport) may be omitted | Assess: Omitting significant sources inflates net removals and risks over-crediting."
Climate science,Crediting accuracy,Carbon Accounting Uncertainty,"Does the project quantify uncertainty (error margins, confidence intervals) in carbon accounting, following a recognized standard?","Look for: Uncertainty analyses or confidence intervals, references to Verra/Puro/Riverse guidelines | If absent/vague: The project may note uncertainty without numeric estimates | Assess: Ignoring uncertainty risks over-crediting; recognized standards add credibility."
Climate science,Crediting accuracy,Safeguards Against Over-Crediting,Has the project adopted conservative assumptions or buffers to mitigate overstating net removals?,"Look for: Discount factors, buffers, or partial credit issuance to account for unknowns | If absent/vague: The project may claim maximum removals with no margin | Assess: Without conservative safeguards, over-crediting risk is higher."
Climate science,Additionality,Financial Additionality & Project Viability,"Would the project proceed without carbon credit revenue, or is there a clear financial gap making carbon finance essential?",Look for: Detailed financial models or cost-benefit analyses showing capital/operational shortfalls without credits | If absent/vague: Check if the project simply states credits help without data | Assess: A genuine funding gap supports additionality; profitability otherwise undermines it.
Climate science,Additionality,Financial Additionality & Project Viability,Have alternative subsidies or funding sources been disclosed to verify if carbon credits fill a genuine shortfall?,"Look for: Disclosure of government grants, tax incentives, or private investments in financial docs | If absent/vague: Only broad claims about partial funding | Assess: Substantial alternative funding may reduce reliance on carbon credits, weakening additionality."
Climate science,Additionality,Investment Analysis,"Is there a financial model (IRR, ROI, payback period) showing how carbon credit revenue affects project profitability?","Look for: Explicit references to IRR, ROI, NPV, or payback period and statements on carbon credits’ role | If absent/vague: Seek indirect clues about bridging cost gaps | Assess: Clear statements of credit dependence strengthen additionality."
Climate science,Additionality,Investment Analysis,"Which key assumptions (CAPEX, OPEX, discount rate, feedstock costs, carbon price) underpin the project’s financial model, and how are they substantiated?","Look for: Specific numeric assumptions tied to quotations, benchmarks, or third-party data, with auditor commentary | If absent/vague: Only qualitative references to major cost drivers | Assess: Unchecked or unrealistic assumptions weaken financial additionality claims."
Climate science,Additionality,Investment Analysis,"Does the project include scenario or sensitivity analyses (±10–20% in CAPEX, carbon price) to show IRR/profitability changes?",Look for: Tables or separate sections illustrating how financial returns shift with key variable changes | If absent/vague: Claims like 'a carbon price below $X is infeasible' with no data | Assess: Thorough sensitivity analysis clarifies the project’s robustness.
Climate science,Additionality,Investment Analysis,Are the benchmarks or hurdle rates used for additionality appropriate for this technology and region?,Look for: References to typical sector IRRs or cost of capital relevant to local conditions | If absent/vague: Generic statements like 'industry standard' with no data | Assess: Artificially high/low hurdles can distort additionality findings.
Climate science,Additionality,Investment Analysis,"Does the project quantify and justify high capital expenditures, and do those costs align with typical ranges for similar biochar technologies?","Look for: CAPEX breakdown referencing technology, infrastructure, permitting; compare with known industry data | If absent/vague: Claims of 'substantial upfront cost' but no detail | Assess: Credible high CAPEX can justify carbon finance; vague numbers do not."
Climate science,Additionality,Investment Analysis,"How do other financing streams (grants, subsidies) fit into the model, and do they undermine or reinforce the need for carbon credits?","Look for: Auditor statements on the proportion of total costs covered by external funding | If absent/vague: Indirect references to 'multiple funding partners' | Assess: Large alternative funding may reduce reliance on credits, weakening additionality (unless CAPEX is still unmet)."
Climate science,Additionality,Investment Analysis,Are there data gaps or auditor disclaimers limiting confidence in the project’s financial analysis?,"Look for: Auditor notes on insufficient data, unvalidated cost estimates, or high uncertainty in feedstock supply | If absent/vague: The project may not acknowledge data shortcomings | Assess: Large uncertainties reduce the credibility of additionality claims."
Climate science,Additionality,Revenue Analysis,"What are the primary and secondary revenue streams (e.g., biochar sales, energy, carbon credits), and what share does carbon finance represent?","Look for: Explicit breakdown (e.g., 70% from product sales, 30% from credits) or auditor confirmations | If absent/vague: Generic claims about 'major carbon revenue' with no data | Assess: If credit revenue is small, project may be viable without it."
Climate science,Additionality,Revenue Analysis,Do carbon credit revenue estimates align with known market benchmarks and local product prices?,"Look for: Stated carbon credit price assumptions, volumes sold, comparisons to typical rates | If absent/vague: Vague references like 'premium prices' with no data | Assess: Overstated credit revenue can falsely inflate additionality arguments."
Climate science,Additionality,Revenue Analysis,"Is carbon finance portrayed as critical for viability, or more like an incremental bonus?","Look for: Statements such as 'Project depends on carbon credits' vs. 'Credits are an added benefit' | If absent/vague: Indirect mentions of bridging operational gaps | Assess: If it’s essential, that supports additionality; if purely incremental, less so."
Climate science,Additionality,Revenue Analysis,"Does the project account for other potential revenue sources (philanthropic grants, equity financing, government incentives), and do they reduce reliance on carbon credits?","Look for: Mention of philanthropic funds or major investors, plus auditor views on whether these sources cover most costs | If absent/vague: Only high-level references to 'government support' | Assess: If alternative funds are large, carbon finance might be secondary."
Climate science,Additionality,Revenue Analysis,Are any claims that carbon revenue is the 'majority' of total revenue verified by data?,"Look for: Auditor confirmations or data tables showing revenue splits | If absent/vague: Project statements may contradict actual revenue breakdowns | Assess: If no evidence is provided, the claim may be overstated."
Climate science,Additionality,Revenue Analysis,"Does carbon finance directly influence decisions on project design, scale, or timelines?",Look for: References to expansion or equipment upgrades specifically tied to carbon revenue | If absent/vague: Only broad statements like 'carbon market signals' | Assess: A direct link to scale/design strongly supports additionality.
Climate science,Additionality,Revenue Analysis,Are there disclaimers about future carbon price volatility or other uncertainties that might change the project’s dependence on carbon finance?,"Look for: Risk statements on fluctuating carbon markets, feedstock supply, or product demand | If absent/vague: No mention of potential price drops or demand shifts | Assess: Large volatility can undermine claims that credits remain essential long term."
Climate science,Additionality,Benefit-Sharing,"Is there a formal mechanism to share benefits (e.g., revenue allocation, community fund) with local stakeholders, and is it explicitly tied to carbon finance?",Look for: Agreements stating a portion of carbon revenue supports community benefits | If absent/vague: Only vague references to 'community benefit' with no details | Assess: Tying local benefits to credit sales can reinforce additionality via stakeholder support.
Climate science,Additionality,Benefit-Sharing,"Are details (eligibility, distribution criteria, timeline) of the benefit-sharing arrangement clearly defined and communicated to communities?","Look for: Documentation explaining how benefits are allocated, stakeholder consultations, or auditor confirmations | If absent/vague: Only general statements about 'plans' with no specificity | Assess: Transparent, structured benefit-sharing fosters local buy-in."
Climate science,Additionality,Benefit-Sharing,"Does the project show how benefit-sharing will be financed over its lifetime, and does it depend on ongoing carbon credit revenue?",Look for: Budget lines earmarking a share of credit revenue vs. up-front grants; auditor notes on funding continuity | If absent/vague: No explanation of sustaining these benefits | Assess: Reliance on continuous credit sales can strengthen additionality if no other funding is feasible.
Climate science,Additionality,Benefit-Sharing,Is there evidence local stakeholders were consulted (FPIC) and that grievance mechanisms exist around benefit-sharing?,"Look for: Records of community meetings, committees, or complaint-handling processes | If absent/vague: Only generic references to 'outreach' | Assess: Genuine consultation and recourse reduce conflict risk and enhance project legitimacy."
Climate science,Additionality,Benefit-Sharing,"Does the project link benefit-sharing to long-term sustainability (e.g., sustaining feedstock supply or local stewardship)?","Look for: Statements that ongoing local incentives ensure stable project operations or protect land use | If absent/vague: No mention of how benefits keep the community engaged | Assess: If benefits vanish, local support might wane, reducing additionality."
Climate science,Additionality,Regulatory & Policy Additionality,"Is the project voluntary (not legally mandated), and does it avoid overlap with regulated compliance markets?",Look for: Project docs clarifying that biochar production is not a legal requirement and that credits aren’t double-counted in cap-and-trade | If absent/vague: No clear separation of voluntary vs. compliance | Assess: Mandatory or double-counted projects are not additional.
Climate science,Additionality,Regulatory & Policy Additionality,Does the project benefit from policy incentives that already cover a substantial portion of costs?,"Look for: Tax breaks, feed-in tariffs, or other supports in the financial statements | If absent/vague: Only general mentions of subsidies with no specifics | Assess: Strong incentives alone may reduce credit-driven additionality."
Climate science,Additionality,Regulatory & Policy Additionality,"Could strong policy support (e.g., mandates, subsidies) make biochar likely even without carbon credits?","Look for: National or local regulations or large-scale government programs promoting biochar | If absent/vague: No detail on direct mandates | Assess: If policy alone could drive adoption, additionality is weaker."
Climate science,Additionality,Market & Demand-Driven Additionality,Does a robust market for biochar suggest the project would be profitable without carbon credits?,"Look for: Market/auditor references showing high demand or favorable pricing | If absent/vague: Only generic claims about local interest | Assess: If strong demand already exists, reliance on credits may be unnecessary."
Climate science,Additionality,Market & Demand-Driven Additionality,Is biochar production already common and profitable in this region?,Look for: Evidence of other commercial biochar facilities operating without carbon credits | If absent/vague: No local industry context is provided | Assess: Established practice reduces additionality unless new barriers exist.
Climate science,Additionality,Technological Additionality & Barriers,"Does the project use innovative pyrolysis technology not yet widely deployed, implying high upfront costs or technical uncertainty?","Look for: Novel reactor designs, advanced gas cleaning, R&D references, or pilot-phase descriptions | If absent/vague: Only says 'modern technology' with no detail | Assess: Innovations usually require carbon finance if costs/risks are high."
Climate science,Additionality,Technological Additionality & Barriers,"Are technical barriers (e.g., lack of trained workforce, high maintenance) documented as reasons why carbon revenue is needed?",Look for: Operational or financial reports linking credit revenue to specialized training or maintenance spending | If absent/vague: No clear mention of how these hurdles get solved | Assess: Evident technical barriers bolster additionality.
Climate science,Additionality,Barrier Analysis,"Does the project clearly identify barriers (technical, policy, knowledge gaps) that prevented biochar adoption before carbon finance?","Look for: Statements on how high CAPEX, lack of expertise, or policy hurdles delayed implementation | If absent/vague: Only generic references to 'unfavorable conditions' | Assess: A strong barrier analysis ties carbon credits to overcoming these hurdles."
Climate science,Additionality,Barrier Analysis,"Are these barriers corroborated by external references (academic studies, market data), confirming their relevance?",Look for: Citations or third-party data supporting claims of cost or technical barriers | If absent/vague: Generic statements with no proof | Assess: Well-substantiated barriers strengthen additionality claims.
Climate science,Additionality,Barrier Analysis,"Does carbon finance directly mitigate these barriers, or could alternative funding sources have achieved the same effect?","Look for: Documentation showing how credits were used to purchase critical equipment or fund R&D | If absent/vague: Only broad claims about 'need for extra funds' | Assess: If alternative funding was readily available, credit-driven additionality is weaker."
Climate science,Additionality,Common Practice Analysis,Is biochar production or similar removal activity not already widely practiced in the region without carbon finance?,"Look for: Comparisons to other local facilities, or local industry norms showing low adoption | If absent/vague: Project may assert 'no other projects' without data | Assess: If it’s indeed uncommon, additionality is stronger."
Climate science,Additionality,Common Practice Analysis,Do market data or studies confirm the rarity or novelty of this biochar technology in this location?,"Look for: External databases, industry reports, or academic references. | If absent/vague: Only broad claims of 'nascent market' | Assess: Without supporting references, the claim is weaker."
Climate science,Additionality,First-of-Its-Kind Analysis,"Does the project claim to be 'first of its kind' or a pilot in this region, and on what basis (technology novelty, scale, location)?","Look for: Direct statements about pioneering status, validated by data or auditor notes | If absent/vague: Only says 'we are the first' without references | Assess: Being first often enhances additionality if well-evidenced."
Climate science,Additionality,First-of-Its-Kind Analysis,"Is there verifiable evidence (market data, government sources) that no similar biochar projects existed before this start date?","Look for: Official records, NGO/govt statements, or audits confirming no prior facilities | If absent/vague: Only 'we found none' with no data | Assess: Lack of contradictory examples supports the claim."
Climate science,Additionality,Identification of Alternatives,"Does the project outline plausible alternative scenarios (e.g., different disposal methods, smaller-scale pyrolysis) and why they would yield fewer carbon benefits?",Look for: Baseline or scenario analysis describing business-as-usual disposal or smaller-scale operations | If absent/vague: Unclear if the project truly beats alternatives | Assess: A robust alternative analysis supports additionality.
Climate science,Additionality,Identification of Alternatives,Are the likelihood and evidence for each identified alternative documented with local/industry data?,Look for: Quantitative or qualitative justifications on which scenarios are realistic vs. improbable | If absent/vague: Generic statements like 'nobody would do X anyway' | Assess: Thorough comparisons strengthen the additionality argument.
Climate science,Additionality,Regulatory Surplus,"Does the project exceed legal requirements or mandatory practices, ensuring it isn’t just meeting existing regulations?","Look for: Evidence that biochar activity is beyond minimum standards, not mandated by local law | If absent/vague: Possibly the project only meets known legal thresholds | Assess: Meeting a legal requirement alone isn’t additional."
Climate science,Additionality,Legal Analysis & Ownership,Are land-use and resource rights clearly documented so the project can credibly claim carbon credits over the entire crediting period?,Look for: Signed land/tenure agreements specifying carbon ownership rights | If absent/vague: Potential disputes or short-term leases are red flags | Assess: Unclear ownership undermines additionality if the project can’t ensure stable carbon storage.
Climate science,Additionality,Baseline Scenario & Counterfactual Analysis,"Is the baseline scenario (e.g., open burning, landfill decay) supported by local data, not just generic assumptions?",Look for: LCA sections specifying the typical disposal method with quantitative emissions data | If absent/vague: Only broad claims about 'avoided emissions' | Assess: A credible baseline is vital for proving real removals.
Climate science,Additionality,Baseline Scenario & Counterfactual Analysis,Does the project account for future policy or market shifts that might change the baseline over time?,"Look for: Periodic baseline reassessments in the MRV plan, references to regulatory trends | If absent/vague: Baseline set once with no re-evaluation | Assess: A dynamic approach is more credible; static assumptions risk over-crediting as conditions evolve."
Climate science,Additionality,Double Counting & Incentivization Risks,Is there any risk of double counting the same carbon removal across multiple registries or programs?,"Look for: Legal agreements or auditor notes confirming exclusive registration, chain-of-custody for credits | If absent/vague: Project listed in multiple programs without clarity | Assess: Double counting invalidates credits; exclusivity is mandatory."
Climate science,Additionality,Double Counting & Incentivization Risks,Could substantial subsidies or co-payments create a windfall if carbon credits are stacked on top?,Look for: Full financial disclosures of all revenue streams (government or private) with breakdowns | If absent/vague: Project vaguely mentions 'some subsidies' | Assess: Over-subsidization indicates carbon credits may not fill a genuine gap.
Climate science,Leakage,Feedstock Displacement & Competition,"Does biomass sourcing divert materials from other carbon-storing uses (e.g., composting, timber) or create supply shortages for existing industries?",Look for: Market analysis or auditor notes on prior uses of the feedstock and local demand | If absent/vague: Project claims 'waste biomass' without verifying prior use | Assess: Diverting high-value biomass can negate net climate benefits.
Climate science,Leakage,Feedstock Displacement & Competition,Has the project addressed potential overharvesting or unsustainable extraction practices that might cause emissions offsite?,"Look for: Sustainability criteria, rotation schedules, or auditor comments on feedstock harvesting | If absent/vague: Project assumes unlimited supply with no supporting data | Assess: Unsustainable sourcing can cause offsite ecosystem damage and additional emissions."
Climate science,Leakage,Indirect Land-Use Change (ILUC),Could increased biomass demand indirectly trigger deforestation or agricultural expansion beyond the project boundary?,"Look for: Land-use impact assessments discussing local deforestation rates, potential for expansion | If absent/vague: Only generic statements on 'sustainable sourcing' | Assess: Ignoring ILUC risks leads to unaccounted emissions that offset carbon benefits."
Climate science,Leakage,Indirect Land-Use Change (ILUC),"Has the project enforced safeguards (e.g., sourcing only residues, using marginal lands) to avoid land-use changes?","Look for: Specific feedstock sourcing policies/maps, supplier contracts limiting deforestation | If absent/vague: Only 'we source sustainably' with no criteria | Assess: Concrete safeguards reduce ILUC risk; vague claims do not."
Climate science,Leakage,Market Substitution Effects,"Does the project’s biomass demand displace other low-carbon uses, causing increased fossil fuel reliance elsewhere?","Look for: Comparisons of feedstock usage vs. alternative industries (biogas, composting) in local market reports | If absent/vague: Only claims of 'abundance' with no displacement analysis | Assess: Substitution effects may undermine net climate gains."
Climate science,Leakage,Market Substitution Effects,Does the project monitor shifts in feedstock pricing or availability that might indicate leakage into other sectors?,"Look for: Periodic market reviews or sensitivity analyses in project docs, feedstock cost/supply updates | If absent/vague: No mention of ongoing monitoring | Assess: Unmonitored market shifts can trigger unintended leakage."
Climate science,Leakage,Supply Chain & Transport Emissions,"Has the project included all transport-related emissions (feedstock to facility, biochar to end user) in net carbon calculations?","Look for: Transport distances, vehicle types, emission factors in the LCA | If absent/vague: Project may omit or assume negligible transport | Assess: Ignoring transport can inflate net removals, hurting credit accuracy."
Climate science,Leakage,Supply Chain & Transport Emissions,Does the project use local sourcing or low-carbon transport to minimize or offset transportation emissions?,"Look for: Short transport routes, electric/hybrid vehicles, or offset measures | If absent/vague: Only general statements about 'efficient logistics' | Assess: Minimizing/offsetting transport emissions is essential for credible net removals."
Climate science,Leakage,Monitoring & Mitigation of Leakage,Does the project periodically reassess feedstock sourcing and land use to detect new leakage risks?,Look for: Scheduled reviews or MRV plan updates with land-use or market reassessment | If absent/vague: A static approach with no re-checks | Assess: Regular reassessment helps catch evolving leakage pathways.
