topic,sub_topic,risk_factor,question,instruction
Additionality,Activity analysis,Common practice analysis,"Do the auditor or project documents mention any factors (economic, technical, policy-related) that limit the wider adoption of biochar technology without carbon finance?","Look for: • Indications of high CAPEX, lack of feedstock incentives, or policy barriers. • Statements that these barriers make standard adoption unlikely. If absent/vague: • Seek references like “lack of government support,” “commercial unviability,” or “infrastructure challenges.” Assess: • Whether these barriers reinforce the notion that biochar is not a common practice. • If such barriers exist, carbon finance may be crucial to overcome them, suggesting additionality."
Additionality,Activity analysis,Common practice analysis,"Are there disclaimers or uncertainties noted by auditors or in the project documents about the level of common practice (e.g., incomplete market data, limited publicly available info)?","Look for: • Auditor disclaimers regarding the reliability of data sources or the completeness of the market analysis. If absent/vague: • Check for mentions like “regional data on biochar is lacking” or “no official statistics exist.” Assess: • How these uncertainties affect confidence in the project’s claim of uncommon practice. • Whether the project provides any mitigating evidence (e.g., local stakeholder testimonies, references to peer-reviewed literature) to strengthen their claims."
Additionality,Activity analysis,First-of-its-kind analysis,"Does the project explicitly claim to be “first-of-its-kind” (or among the earliest) in the region or at the stated scale, and on what basis (e.g., technology novelty, scale of emissions impact)?","Look for: • Direct statements in the project documents claiming pioneering or unique status. • Auditor or third-party confirmations of limited or no precedent projects. If absent/vague: • Search for language like “pilot,” “new approach,” or “unprecedented scale.” Assess: • Whether the claim aligns with any data on local/regional adoption rates. • The project’s justification for claiming first-of-its-kind (technology innovation, scale, location, etc.)."
Additionality,Activity analysis,First-of-its-kind analysis,"Is there supporting evidence (market data, government sources, NGO reports) verifying that no similar biochar projects existed in the region prior to or at the project start date?","Look for: • References to official records, databases, or government/NGO publications confirming the absence of similar scale or technology. If absent/vague: • Look for indirect signals: “We could not find any operational facility,” “No known prior examples.” Assess: • How robust the project’s search or references are. • If the project claims to be first-of-its-kind but provides no evidence, note any disclaimers or insufficient justification."
Additionality,Activity analysis,First-of-its-kind analysis,"Does the project emphasize overcoming significant barriers (financial, technical, policy-related) that typically deter other actors in the region from implementing this type of biochar activity?","Look for: • Statements about major hurdles (e.g., high CAPEX, untested technology, lack of policy support). • Auditor commentary on how these hurdles may have prevented other projects. If absent/vague: • Look for broad references to “high risk” or “lack of precedent.” Assess: • Whether the project’s barrier narrative supports the claim that it is truly pioneering. • The degree to which carbon finance (or external funding) was essential to overcome these hurdles, linking to additionality."
Additionality,Activity analysis,First-of-its-kind analysis,"Has the project been positioned as a “proof of concept” facility (especially for ex-post claims), and if so, does the documentation show it led to further scaling or replication?","Look for: • References to the project serving as a smaller-scale pilot to demonstrate feasibility. • Evidence that success encouraged larger or replicated facilities. If absent/vague: • Seek any mention of “demonstration phase,” “pilot initiative,” or “tech demonstration.” Assess: • Whether this proof of concept overcame skepticism or uncertainty in the region. • If the project’s role as a pioneer suggests higher additionality, especially if it unlocked subsequent expansions or new entrants."
Additionality,Activity analysis,First-of-its-kind analysis,"Does the project differentiate its scale (e.g., greenhouse gas impact, volume of biochar produced) from existing initiatives, supporting a claim that it is the first of this magnitude?","Look for: • Any quantification of production capacity or emissions impact that exceeds known local projects. If absent/vague: • Seek references to “unprecedented volume,” “largest in the region,” or “novel feedstock.” Assess: • Whether scale is a legitimate differentiator or a minor variation. • If the project is not truly first in the region but claims to be first at a particular scale, determine if that justifies higher additionality."
Additionality,Activity analysis,First-of-its-kind analysis,"Do auditors or project documents acknowledge any contradictory data (e.g., other similar projects that may undermine the first-of-its-kind claim), and how are these addressed?","Look for: • Statements or disclaimers regarding the existence of prior or parallel projects. • Auditor notes clarifying whether the project is truly unique. If absent/vague: • Search for any disclaimers like “the project team was unaware of other facilities,” or “limited data sources.” Assess: • Whether contradictory evidence is explained or ignored. • If contradictory info exists, the project’s first-of-its-kind status may be weakened, affecting additionality."
Additionality,Activity analysis,First-of-its-kind analysis,"Are there known data gaps or uncertainties (e.g., incomplete regional surveys, informal sector biochar production) that limit confidence in the first-of-its-kind assertion?","Look for: • Auditor disclaimers about limited visibility of informal or non-registered projects. • Project mentions of potential unrecorded biochar initiatives. If absent/vague: • Look for any mention of “data limitations,” “lack of official statistics,” or “only partial industry records.” Assess: • Whether these gaps significantly undermine the claimed pioneering status. • If the project acknowledges these limitations but provides additional evidence, it strengthens credibility."
Additionality,Activity analysis,Barrier analysis,"Does the project clearly identify specific barriers (e.g., technical, policy, knowledge gaps) relevant to ex-post biochar implementation, and how these barriers inhibited the activity before carbon finance?","Look for: • Project or auditor statements enumerating barriers (e.g., high CAPEX, lack of expertise, policy restrictions). • Any mention of how these barriers delayed or prevented earlier adoption. If absent/vague: • Search for indirect language like “unfavorable conditions” or “significant hurdles.” Assess: • Whether the documentation provides enough clarity on why biochar wasn’t already widespread. • How these stated barriers tie into the need for carbon finance (i.e., removing or reducing those obstacles)."
Additionality,Activity analysis,Barrier analysis,"Are these barriers supported by external references (e.g., academic literature, industry benchmarks, government reports) to confirm they are widely recognized in the region or sector?","Look for: • Citations of studies or official documents that validate claims about technical, financial, or policy constraints. • Auditor notes referencing third-party data. If absent/vague: • Look for high-level references to “industry norms” or “peer-reviewed evidence” without specific detail. Assess: • Whether the project has done a robust job of contextualizing these barriers (e.g., referencing known R&D challenges in biochar). • Gaps or missing citations that weaken the barrier argument."
Additionality,Activity analysis,Barrier analysis,"To what extent does carbon finance directly mitigate these barriers (e.g., funding technical expertise, specialized equipment), and could alternative funding sources have achieved the same effect?","Look for: • Clear link between carbon revenue and how it was spent (e.g., hiring specialists, purchasing advanced technology). • Statements on whether these barriers remain if carbon finance is removed. If absent/vague: • Seek language like “carbon funds enabled us to invest in R&D.” Assess: • Whether carbon finance is crucial or just one of many solutions. • If alternative funding was available or easily accessible, additionality might be lower."
Additionality,Activity analysis,Barrier analysis,"Does the project reference opportunity costs (e.g., more lucrative land use or feedstock alternatives) that would have prevented biochar production without the incentive of carbon credits?","Look for: • Any analysis of alternative land use, feedstock sales, or other competing economic activities. • Auditor or project references that carbon credit revenue offsets these opportunity costs. If absent/vague: • Watch for indirect statements like “higher returns from other practices” or “lack of local markets for feedstock.” Assess: • Whether the project convincingly shows that carbon credits tilt the economic balance in favor of biochar. • The significance of these opportunity costs to overall viability."
Additionality,Activity analysis,Barrier analysis,"Are there technical barriers (e.g., specialized equipment, unproven pyrolysis methods, complex quality control) specific to the project’s biochar process that require substantial investment or expertise to overcome?","Are there technical barriers (e.g., specialized equipment, unproven pyrolysis methods, complex quality control) specific to the project’s biochar process that require substantial investment or expertise to overcome?"
Additionality,Activity analysis,Barrier analysis,"Does the documentation or auditor note any non-financial barriers (e.g., regulatory uncertainty, lack of stakeholder acceptance) that carbon finance alone may not resolve, and how has the project addressed them?","Look for: • References to permitting issues, administrative delays, or local stakeholder skepticism. • Any mention of parallel actions (e.g., policy advocacy, community engagement) beyond carbon finance. If absent/vague: • Watch for broad statements like “unfavorable policy environment” or “needed multiple approvals.” Assess: • Whether non-financial barriers remain a bottleneck. • The role carbon finance played or did not play in mitigating these."
Additionality,Activity analysis,Barrier analysis,"Are there disclaimers or uncertainties in the audit reports about the severity or duration of these barriers (e.g., future policy changes, evolving technology costs)?","Look for: • Auditor caveats about uncertain feedstock markets, policy reforms in progress, or potential new technologies. • Project disclaimers on how barriers may diminish over time. If absent/vague: • Note references to “highly variable” or “difficult to predict” conditions. Assess: • The level of confidence regarding these barriers’ persistence. • If the barriers are likely to fade quickly, carbon finance might be less pivotal for long-term project viability, potentially affecting additionality."
Additionality,Activity analysis,Identification of the alternatives to the proposed project,"Has the project clearly outlined plausible alternative scenarios (e.g., feedstock disposal methods, different technology, scale variations) that could replace or reduce the need for this biochar activity?","Look for: • A list or discussion of possible “business-as-usual” scenarios, such as burning or decay of biomass, alternate carbon removal methods, or different project scales. If absent/vague: • Seek indirect references to “other disposal practices,” “common local technologies,” or “alternative uses of feedstock.” Assess: • Whether the documentation systematically considers realistic alternatives, or only briefly mentions them. • How these scenarios inform the baseline for additionality."
Additionality,Activity analysis,Identification of the alternatives to the proposed project,"Does the project discuss the likelihood of each identified alternative scenario and provide evidence (e.g., local data, industry reports) to support or refute it?","Look for: • Quantitative or qualitative justification of why certain alternatives are more or less likely. • Auditor or third-party sources confirming local biomass markets, policy incentives, or other relevant data. If absent/vague: • Look for statements like “scenario X is unlikely” without supporting data. Assess: • The credibility of the project’s likelihood assessment. • Whether the project’s data and reasoning seem balanced and transparent."
Additionality,Activity analysis,Identification of the alternatives to the proposed project,"Does the project address potential partial or competing alternatives (e.g., partial use of biomass for carbon storage in construction, sale to other industries) that might coexist alongside a scaled-down version of the project?","Look for: • Acknowledgment of scenarios in which only part of the feedstock is diverted to alternative uses, or the project operates at a smaller scale. If absent/vague: • Seek references to “partial adoption,” “competing demand,” or “other carbon project usage.” Assess: • Whether the project adequately considers that alternatives need not be an all-or-nothing replacement. • How these partial alternatives might affect the project’s baseline and net removals."
Additionality,Activity analysis,Identification of the alternatives to the proposed project,Does the documentation specifically assess how the project’s reliance on carbon finance affects whether these alternatives would be implemented in the absence of that finance?,"Look for: • Statements linking the project’s economic feasibility to carbon revenue, compared to other technologies or practices that might be self-sustaining. If absent/vague: • Look for hints like “carbon credit revenue offsets the cost of feedstock supply,” “barrier to scale,” etc. Assess: • Whether the project convincingly demonstrates that, without carbon finance, alternatives (or doing nothing) would be more likely. • How central carbon finance is to preventing or enabling each alternative scenario."
Additionality,Activity analysis,Identification of the alternatives to the proposed project,"Are there policy or market conditions (e.g., subsidies, regulations, established local industries) that make certain alternatives more probable, and does the project acknowledge these in its analysis?","Look for: • References to existing regional policies, incentives, or market demands that might encourage other uses of biomass or competing carbon projects. • Auditor notes on established local industries that could repurpose feedstock. If absent/vague: • Check for broad statements about “supportive policies” or “established local industries” without detail. Assess: • The project’s thoroughness in addressing these conditions. • Potential gaps in the project’s analysis that might overlook a plausible alternative."
Additionality,Activity analysis,Identification of the alternatives to the proposed project,"Where data is lacking (e.g., feedstock origin or local market dynamics), do auditors or the project acknowledge this uncertainty, and how do they propose to account for it in the baseline scenario?","Look for: • Any disclaimer indicating partial knowledge about feedstock sourcing, local wood markets, or other factors. • Suggestions for conservative assumptions or contingency approaches. If absent/vague: • Look for references to “limited information” or “no official data available.” Assess: • Whether the project addresses these data gaps by applying conservative or well-reasoned assumptions about alternative scenarios. • If unaddressed, the baseline could be overstated or understated, affecting additionality."
Additionality,Activity analysis,Identification of the alternatives to the proposed project,"Do project documents or auditor comments identify any contradictory information regarding feasible alternatives (e.g., local stakeholders or sources suggesting an alternative is more common than the project claims)?","Look for: • Inconsistencies within project documentation (e.g., references to an existing industry that the project claims does not exist). • Auditor notes challenging the project’s stance on alternative scenarios. If absent/vague: • Seek indirect indications of contradictory statements in community feedback, local news, or research references. Assess: • How well the project reconciles any contradictory info. • Whether such contradictions weaken the argument for additionality."
Additionality,Regulatory analysis,Regulatory surplus,"Are there any existing laws, regulations, or policy instruments (e.g., Emissions Trading Schemes) that require or substantially incentivize biochar production or similar carbon removal activities in the project region?","Look for: • Direct references to mandates, subsidies, or legal requirements specific to biochar or negative emissions. • Auditor statements citing compliance with regional or national GHG reduction frameworks (like an ETS). If absent/vague: • Check for broad mentions of “environmental regulations” or “climate policies” that might indirectly cover biochar. Assess: • Whether the project’s activities are partly or wholly mandatory, reducing additionality. • The degree of freedom the project has to operate beyond regulatory compliance."
Additionality,Regulatory analysis,Regulatory surplus,"Does the project claim to exceed existing regulatory standards or requirements, and how does carbon finance enable going beyond basic compliance?",Look for: • Statements that the project’s biochar activity goes “above and beyond” minimal legal thresholds or typical permit conditions. • Auditor notes on the extent of the project’s compliance vs. voluntary action. If absent/vague: • Look for indirect language like “surpassing mandated GHG reductions.” Assess: • Whether carbon revenues are specifically cited as enabling the project to surpass these standards. • The importance of this surplus for additionality.
Additionality,Regulatory analysis,Regulatory surplus,"Is there evidence that the local or national government actively enforces regulations (e.g., high government effectiveness) that might render the project mandatory or standard practice over time?","Look for: • References to active enforcement actions, government capacity, or policy compliance rates. • Any data on local/regional success in implementing environmental regulations. If absent/vague: • Seek mentions of “lax enforcement” or “policy not implemented.” Assess: • If enforcement is strong, the project may eventually be required by law, undermining additionality. • If enforcement is weak, voluntary adoption (possibly reliant on carbon finance) may still be a key driver of the project."
Additionality,Regulatory analysis,Regulatory surplus,"Does the project reference any direct public funding or government-sponsored programs that already support biochar or related negative emissions technologies, potentially duplicating the role of carbon finance?","Look for: • Statements about grants, public loans, or subsidized R&D supporting the project. • Auditor comments on how these funds compare to carbon credit revenues. If absent/vague: • Seek references to “public-private partnership” or “government-backed demonstration project.” Assess: • Whether reliance on public funding might mean the project is less dependent on carbon credits for viability. • How that affects the claim of regulatory surplus and additionality."
Additionality,Regulatory analysis,Regulatory surplus,"For ex-post projects, do the documented regulations or policies indicate that the project would have had to be implemented anyway during its operational timeline?","Look for: • Timeline references: when regulations took effect vs. project start date. • Auditor or project statements on “retroactive compliance.” If absent/vague: • Watch for statements like “policy changes soon after project launch.” Assess: • Whether the project is simply meeting new legal requirements that emerged during its operation, reducing additionality. • If the project began significantly before such regulations existed, it may retain a stronger additionality claim."
Additionality,Regulatory analysis,Regulatory surplus,"Has the project addressed potential or upcoming regulatory changes (e.g., draft legislation, policy initiatives) that could mandate or standardize biochar production in the near future?","Look for: • Forecasts or discussions of pending bills, regulations, or climate targets that might affect biochar. • Auditor disclaimers about uncertain policy landscapes. If absent/vague: • Seek language like “government is considering mandatory negative emissions targets.” Assess: • Whether anticipated policy shifts might reduce the project’s voluntary nature over time. • If the project is likely to become mandatory in the near term, the additionality argument may weaken."
Additionality,Regulatory analysis,Regulatory surplus,"Do the auditor or project documents identify any contradictory information (e.g., official references suggesting biochar is mandated, but the project denies this), and how is it resolved?",Look for: • Inconsistencies within the project’s claims about regulations. • Auditor notes revealing contradictory local or national rules. If absent/vague: • Seek indirect acknowledgments of “lack of clarity” or “disputes over policy interpretation.” Assess: • Whether contradictory data undermines the project’s claim that it is not required by law. • How the project addresses or fails to address such discrepancies.
Additionality,Legal analysis,Ownership ,"Does the project clearly establish land ownership or user rights (e.g., private land, community tenure, easements) for all areas where biochar activities occur, and is this legal status valid throughout the crediting period?","Look for: • Formal land deeds, easement agreements, or official documents proving land control. • Auditor notes or evidence of stable land tenure for the project’s operational timeframe. If absent/vague: • Seek indirect mentions like “long-term leases,” “community land co-ops,” or “customary rights.” Assess: • Whether the documentation confirms uninterrupted access for feedstock sourcing and production. • Any disclaimers about uncertain or disputed land ownership that could risk project continuity."
Additionality,Legal analysis,Ownership ,"Has the project relied on carbon finance to secure or formalize land or resource rights (e.g., obtaining easements, legal documentation) that otherwise would have been cost-prohibitive or inaccessible?","Look for: • References to carbon revenue enabling the purchase or lease of land, or establishing new legal arrangements. • Auditor commentary on whether such arrangements were dependent on external finance. If absent/vague: • Look for statements like “funds supported land formalization” or “carbon credit sales financed legal fees.” Assess: • Whether carbon finance was pivotal in securing ownership or access, tying this directly to additionality."
Additionality,Legal analysis,Ownership ,"Does the project address risks stemming from unclear or changing land tenure (e.g., future disputes, legal reforms) and how these could affect the continuation of biochar activities?","Look for: • Project risk assessment sections discussing local land ownership customs or potential legal reforms. • Auditor disclaimers on land disputes. If absent/vague: • Seek references to “land conflict,” “disputed boundaries,” or “traditional stewardship.” Assess: • Whether the project identifies mitigation strategies (e.g., engaging local authorities, dispute resolution measures). • Potential threats to project longevity and additionality if ownership security is not robust."
